striker,balls_faced,total_runs,total_extras_seen,avg_runs_per_ball,boundary_rate,dot_ball_rate
Tanzid Hasan,64,89,2,1.390625,0.203125,0.375
Tariq Aziz,1,0,0,0.0,0.0,1.0
Taskin Ahmed,4,9,0,2.25,0.25,0.25
Thuya Aung,34,13,1,0.38235294117647056,0.029411764705882353,0.7352941176470589
US Hathinjar,54,74,2,1.3703703703703705,0.14814814814814814,0.2962962962962963
Umaima Sohail,6,2,0,0.3333333333333333,0.0,0.8333333333333334
VP Thamotharam,10,4,0,0.4,0.0,0.6
VS Padhaal,10,18,1,1.8,0.4,0.4
Vichanath Singh,1,1,0,1.0,0.0,0.0
Vinu Kumar,8,1,0,0.125,0.0,0.875
W Kevin,6,4,1,0.6666666666666666,0.16666666666666666,0.8333333333333334
W Madhevere,10,10,1,1.0,0.2,0.6
W Uisuk,20,2,6,0.1,0.0,0.9
WB Rankin,6,5,2,0.8333333333333334,0.0,0.3333333333333333
WK Dilhari,9,2,0,0.2222222222222222,0.0,0.7777777777777778
WK McCallan,6,2,0,0.3333333333333333,0.0,0.6666666666666666
WTS Porterfield,36,40,3,1.1111111111111112,0.05555555555555555,0.25
Walid Ghauri,19,16,1,0.8421052631578947,0.05263157894736842,0.47368421052631576
Washeem Abbas,7,8,1,1.1428571428571428,0.14285714285714285,0.5714285714285714
Y Naing Tun,10,0,3,0.0,0.0,1.0
YK Pathan,24,31,1,1.2916666666666667,0.16666666666666666,0.375
Yasir Ali,29,23,0,0.7931034482758621,0.034482758620689655,0.41379310344827586
Younis Khan,8,10,0,1.25,0.125,0.25
Yuvraj Singh,44,67,1,1.5227272727272727,0.18181818181818182,0.29545454545454547
Z Hoque,15,5,9,0.3333333333333333,0.0,0.7333333333333333
ZE Green,8,9,0,1.125,0.125,0.25
Zeeshan Khan,4,4,3,1.0,0.25,0.75
Zeeshan Maqsood,16,23,2,1.4375,0.3125,0.5625
Ziaur Rehman,6,1,1,0.16666666666666666,0.0,0.8333333333333334
Zohaib Sarwar,1,0,0,0.0,0.0,1.0
