balls_faced,total_runs,total_extras_seen,avg_runs_per_ball,boundary_rate,dot_ball_rate,label
8,1,0,0.125,0.0,0.875,0
5,3,1,0.6,0.0,0.4,0
5,3,1,0.6,0.0,0.4,0
22,27,1,1.2272727272727273,0.1818181818181818,0.4545454545454545,1
38,30,1,0.7894736842105263,0.0789473684210526,0.4736842105263157,0
1,1,0,1.0,0.0,0.0,1
11,4,1,0.3636363636363636,0.0,0.7272727272727273,0
6,7,1,1.1666666666666667,0.1666666666666666,0.3333333333333333,1
2,0,0,0.0,0.0,1.0,0
30,21,1,0.7,0.0666666666666666,0.5666666666666667,0
6,9,1,1.5,0.3333333333333333,0.5,1
23,34,0,1.4782608695652173,0.2608695652173913,0.4347826086956521,1
10,7,0,0.7,0.0,0.5,0
7,7,1,1.0,0.1428571428571428,0.5714285714285714,1
26,43,3,1.6538461538461535,0.2307692307692307,0.3846153846153846,1
53,79,1,1.490566037735849,0.2452830188679245,0.4716981132075472,1
16,18,0,1.125,0.0625,0.25,1
21,27,2,1.2857142857142858,0.238095238095238,0.4761904761904761,1
3,0,1,0.0,0.0,1.0,0
7,5,0,0.7142857142857143,0.0,0.4285714285714285,0
27,47,1,1.7407407407407407,0.1851851851851851,0.2962962962962963,1
2,0,0,0.0,0.0,1.0,0
2,2,0,1.0,0.0,0.5,1
46,34,6,0.7391304347826086,0.0434782608695652,0.4565217391304347,0
7,5,1,0.7142857142857143,0.0,0.4285714285714285,0
3,2,0,0.6666666666666666,0.0,0.3333333333333333,0
7,2,0,0.2857142857142857,0.0,0.7142857142857143,0
25,50,0,2.0,0.24,0.2,1
30,23,2,0.7666666666666667,0.1,0.7,0
37,46,1,1.2432432432432432,0.1621621621621621,0.3513513513513513,1
12,34,0,2.8333333333333335,0.4166666666666667,0.25,1
1,0,0,0.0,0.0,1.0,0
21,25,1,1.1904761904761905,0.1904761904761904,0.5238095238095238,1
9,15,0,1.6666666666666667,0.1111111111111111,0.1111111111111111,1
48,49,6,1.0208333333333333,0.0833333333333333,0.4583333333333333,1
19,13,0,0.6842105263157895,0.0,0.4210526315789473,0
4,1,0,0.25,0.0,0.75,0
50,56,1,1.12,0.16,0.48,1
32,11,2,0.34375,0.0,0.65625,0
15,17,1,1.1333333333333333,0.0666666666666666,0.3333333333333333,1
12,1,2,0.0833333333333333,0.0,0.9166666666666666,0
11,16,0,1.4545454545454546,0.1818181818181818,0.2727272727272727,1
21,20,2,0.9523809523809524,0.1904761904761904,0.6190476190476191,1
24,11,2,0.4583333333333333,0.0416666666666666,0.75,0
11,17,0,1.5454545454545454,0.1818181818181818,0.3636363636363636,1
7,2,0,0.2857142857142857,0.0,0.7142857142857143,0
9,9,0,1.0,0.0,0.2222222222222222,1
2,2,0,1.0,0.0,0.5,1
4,1,0,0.25,0.0,0.75,0
23,19,2,0.8260869565217391,0.0434782608695652,0.4347826086956521,1
3,0,2,0.0,0.0,1.0,0
35,33,0,0.9428571428571428,0.1142857142857142,0.4285714285714285,1
9,4,0,0.4444444444444444,0.0,0.6666666666666666,0
3,2,0,0.6666666666666666,0.0,0.3333333333333333,0
62,20,11,0.3225806451612903,0.0,0.6935483870967742,0
6,2,0,0.3333333333333333,0.0,0.6666666666666666,0
39,42,1,1.0769230769230769,0.1538461538461538,0.4871794871794871,1
7,11,0,1.5714285714285714,0.2857142857142857,0.5714285714285714,1
4,0,0,0.0,0.0,1.0,0
35,44,6,1.2571428571428571,0.1142857142857142,0.3428571428571428,1
2,0,0,0.0,0.0,1.0,0
20,17,0,0.85,0.1,0.5,1
10,4,0,0.4,0.0,0.6,0
7,6,0,0.8571428571428571,0.0,0.1428571428571428,1
20,18,4,0.9,0.1,0.45,1
45,65,0,1.4444444444444444,0.1555555555555555,0.3333333333333333,1
15,30,3,2.0,0.2666666666666666,0.2,1
38,29,3,0.7631578947368421,0.0526315789473684,0.4473684210526316,0
12,13,0,1.0833333333333333,0.0,0.25,1
4,8,0,2.0,0.25,0.25,1
10,4,0,0.4,0.0,0.6,0
3,2,0,0.6666666666666666,0.0,0.3333333333333333,0
5,1,0,0.2,0.0,0.8,0
19,9,1,0.4736842105263157,0.0526315789473684,0.7368421052631579,0
91,129,6,1.4175824175824177,0.1978021978021978,0.3186813186813186,1
28,22,0,0.7857142857142857,0.1428571428571428,0.6428571428571429,0
7,17,0,2.4285714285714284,0.2857142857142857,0.1428571428571428,1
10,4,0,0.4,0.0,0.7,0
25,22,1,0.88,0.12,0.52,1
2,0,0,0.0,0.0,1.0,0
2,2,0,1.0,0.0,0.0,1
7,0,1,0.0,0.0,1.0,0
22,20,1,0.9090909090909092,0.0909090909090909,0.4090909090909091,1
47,46,4,0.9787234042553192,0.0851063829787234,0.425531914893617,1
20,35,2,1.75,0.2,0.35,1
6,0,2,0.0,0.0,1.0,0
9,5,0,0.5555555555555556,0.0,0.6666666666666666,0
28,37,0,1.3214285714285714,0.1428571428571428,0.2857142857142857,1
5,2,0,0.4,0.0,0.8,0
7,2,0,0.2857142857142857,0.0,0.7142857142857143,0
10,7,0,0.7,0.1,0.7,0
2,0,0,0.0,0.0,1.0,0
6,2,1,0.3333333333333333,0.0,0.6666666666666666,0
9,13,0,1.4444444444444444,0.2222222222222222,0.4444444444444444,1
33,23,3,0.696969696969697,0.0303030303030303,0.4242424242424242,0
11,15,0,1.3636363636363635,0.0909090909090909,0.4545454545454545,1
10,0,0,0.0,0.0,1.0,0
36,66,2,1.8333333333333333,0.1944444444444444,0.1666666666666666,1
6,4,0,0.6666666666666666,0.1666666666666666,0.8333333333333334,0
5,5,0,1.0,0.0,0.2,1
6,7,0,1.1666666666666667,0.0,0.0,1
54,76,4,1.4074074074074074,0.2037037037037037,0.4444444444444444,1
8,9,0,1.125,0.0,0.25,1
13,12,0,0.9230769230769232,0.0769230769230769,0.4615384615384615,1
6,2,1,0.3333333333333333,0.0,0.6666666666666666,0
108,140,7,1.2962962962962965,0.1666666666666666,0.324074074074074,1
9,9,3,1.0,0.2222222222222222,0.6666666666666666,1
4,4,0,1.0,0.25,0.75,1
1,0,0,0.0,0.0,1.0,0
16,11,1,0.6875,0.0625,0.5625,0
8,3,0,0.375,0.0,0.625,0
9,4,1,0.4444444444444444,0.0,0.6666666666666666,0
21,23,4,1.0952380952380951,0.1428571428571428,0.5238095238095238,1
4,2,2,0.5,0.0,0.5,0
27,38,1,1.4074074074074074,0.1481481481481481,0.2592592592592592,1
3,4,0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1
12,10,0,0.8333333333333334,0.0833333333333333,0.4166666666666667,1
11,8,0,0.7272727272727273,0.0,0.2727272727272727,0
10,5,0,0.5,0.1,0.8,0
6,1,0,0.1666666666666666,0.0,0.8333333333333334,0
24,13,0,0.5416666666666666,0.0416666666666666,0.5833333333333334,0
31,25,1,0.8064516129032258,0.032258064516129,0.3548387096774194,0
18,26,3,1.4444444444444444,0.2222222222222222,0.4444444444444444,1
9,6,1,0.6666666666666666,0.1111111111111111,0.6666666666666666,0
4,3,0,0.75,0.0,0.25,0
50,91,6,1.82,0.3,0.28,1
23,15,5,0.6521739130434783,0.0434782608695652,0.6521739130434783,0
33,47,4,1.4242424242424243,0.1818181818181818,0.3333333333333333,1
16,17,0,1.0625,0.125,0.3125,1
14,14,2,1.0,0.1428571428571428,0.5,1
9,6,0,0.6666666666666666,0.0,0.4444444444444444,0
4,3,0,0.75,0.0,0.5,0
19,11,2,0.5789473684210527,0.0526315789473684,0.6842105263157895,0
4,1,0,0.25,0.0,0.75,0
20,30,0,1.5,0.15,0.25,1
5,5,0,1.0,0.0,0.2,1
21,6,0,0.2857142857142857,0.0,0.7142857142857143,0
16,14,1,0.875,0.1875,0.6875,1
17,28,2,1.6470588235294117,0.2941176470588235,0.4705882352941176,1
4,0,0,0.0,0.0,1.0,0
22,14,5,0.6363636363636364,0.0909090909090909,0.6818181818181818,0
25,30,1,1.2,0.16,0.32,1
19,11,2,0.5789473684210527,0.0526315789473684,0.7368421052631579,0
7,2,0,0.2857142857142857,0.0,0.8571428571428571,0
79,79,4,1.0,0.0886075949367088,0.3670886075949367,1
9,2,0,0.2222222222222222,0.0,0.7777777777777778,0
10,6,1,0.6,0.0,0.5,0
13,23,1,1.7692307692307692,0.3076923076923077,0.3846153846153846,1
8,6,0,0.75,0.0,0.5,0
29,13,1,0.4482758620689655,0.0344827586206896,0.7241379310344828,0
21,22,4,1.0476190476190477,0.1428571428571428,0.4761904761904761,1
1,0,0,0.0,0.0,1.0,0
